bootstrap_id,valid_pairs,genuine_pairs,impostor_pairs,baseline_roc_auc,fused_roc_auc,delta_roc_auc,baseline_eer,fused_eer,delta_eer,baseline_accuracy_at_eer_threshold,fused_accuracy_at_eer_threshold
2056,56,52,4,0.9278846153846153,0.9423076923076923,0.014423076923076983,0.04807692307692307,0.04807692307692307,0.0,0.9107142857142857,0.9107142857142857
2057,56,52,4,0.985576923076923,0.9951923076923077,0.009615384615384692,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2058,56,52,4,0.9423076923076923,0.9519230769230769,0.009615384615384581,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2059,56,52,4,0.9807692307692307,0.9807692307692307,0.0,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2060,56,52,4,0.9134615384615384,0.9423076923076923,0.028846153846153855,0.05769230769230771,0.028846153846153855,-0.028846153846153855,0.8928571428571429,0.9464285714285714
2061,56,52,4,0.985576923076923,0.9951923076923077,0.009615384615384692,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2062,56,52,4,0.985576923076923,0.9807692307692307,-0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2063,56,52,4,0.9567307692307692,0.971153846153846,0.014423076923076872,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2064,56,52,4,0.9423076923076923,0.9423076923076923,0.0,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2065,56,52,4,0.9230769230769231,0.9519230769230769,0.028846153846153744,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
2066,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2067,56,52,4,0.9615384615384616,0.9615384615384616,0.0,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2068,56,52,4,0.9903846153846154,1.0,0.009615384615384581,0.019230769230769218,0.0,-0.019230769230769218,0.9642857142857143,1.0
2069,56,52,4,0.9711538461538461,0.9567307692307692,-0.014423076923076983,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2070,56,52,4,0.9567307692307692,0.9855769230769231,0.028846153846153966,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2071,56,52,4,0.9423076923076923,0.9663461538461537,0.024038461538461453,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
2072,56,52,4,0.9711538461538461,0.9759615384615384,0.004807692307692291,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2073,56,52,4,0.9807692307692307,0.9807692307692307,0.0,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2074,56,52,4,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2075,56,52,4,0.985576923076923,0.9903846153846154,0.004807692307692402,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2076,56,52,4,0.9711538461538461,0.9807692307692308,0.009615384615384692,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2077,56,52,4,0.9903846153846154,0.9951923076923077,0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2078,56,52,4,0.985576923076923,0.9807692307692307,-0.004807692307692291,0.009615384615384637,0.009615384615384637,0.0,0.9821428571428571,0.9821428571428571
2079,56,52,4,0.9711538461538461,0.9903846153846154,0.019230769230769273,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
2080,56,52,4,0.9807692307692308,0.9807692307692307,-1.1102230246251565e-16,0.019230769230769218,0.009615384615384637,-0.009615384615384581,0.9642857142857143,0.9821428571428571
2081,56,52,4,0.9230769230769231,0.9807692307692308,0.05769230769230771,0.038461538461538436,0.038461538461538436,0.0,0.9285714285714286,0.9285714285714286
2082,56,52,4,0.9423076923076923,0.9519230769230769,0.009615384615384581,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2083,56,52,4,0.9567307692307692,0.9567307692307692,0.0,0.028846153846153855,0.028846153846153855,0.0,0.9464285714285714,0.9464285714285714
2084,56,52,4,0.9807692307692308,0.9903846153846154,0.009615384615384581,0.019230769230769218,0.019230769230769218,0.0,0.9642857142857143,0.9642857142857143
